p086,to1,By Anthropologie 100% Cotton Eyelet Popover Blouse,By Anthropologie,Anthropologie,https://www.anthropologie.com/shop/by-anthropologie-100-cotton-eyelet-popover-blouse2,128,$$,Romantic,Natural,Classic,,XXS-L (XL sold out),no,no,no,white,,,,"Eyelet gives texture and airflow at the same time, which is why it has survived a century of summers. Feminine without needing a print to get there.",2026-08-15,yes,
p088,to5,Tenia Long-Sleeve Blouse,Theory,Neiman Marcus,https://www.neimanmarcus.com/p/theory-tenia-long-sleeve-blouse-prod178380218,245,$$$,Professional,Minimal,Classic,Glam,P-XL,no,no,no,white,,,,"The most tailored shirt in this slot, and the stretch is why it stays tailored through a day of sitting down. The longer shirttail means it holds a tuck.",2026-08-15,yes,
p089,sh9,Reebok Club C 85 Vintage Sneakers,Reebok,Madewell,https://www.madewell.com/p/womens/shoes/sneakers/3rd-party-sneaker/reebokreg-club-c-85-vintage-sneakers/NH503/,90,$$,Sporty,Classic,Minimal,,5-11,no,no,no,chalk/alabaster/glen green,,,,"The Club C is the plainest court sneaker there is, and that is exactly why it works with everything. Leather, low, no branding shouting at you — buy it once and stop thinking about it.",2026-08-15,yes,medium
p090,sh9,Ballet sneakers in suede and leather,J.Crew,J.Crew,https://www.jcrew.com/m/womens/categories/shoes/sneakers/ballet-sneakers-in-suede-and-leather/MQ207,168,$$$,Romantic,Minimal,Classic,,5-12,no,no,no,"black, vivid navy",,,,"A ballet flat and a retro runner met in the middle, and the result is softer than either. The elasticated topline means no gaping at the ankle, and it comes with two sets of laces so you can change its mood.",2026-08-15,yes,medium
p091,sh9,Women's Keds Champion Leather Lace Up,Keds,Zappos,https://www.zappos.com/p/womens-keds-champion-leather-lace-up/product/109573,65,$$,Classic,Natural,Professional,,5-13,no,no,no,"black leather, white leather",,,,"Four widths, slim through extra-wide, which is rarer than it should be in a leather sneaker. It is flat and unstructured — a clean plimsoll shape done in leather, not a cushioned trainer.",2026-08-15,yes,"narrow, medium, wide"
p092,sh9,Women's Sperry Crest Vibe,Sperry,Zappos,https://www.zappos.com/p/womens-sperry-crest-vibe/product/9242194,60,$$,Natural,Sporty,Classic,,5-11,no,no,no,"black, brown, white",,,,"A proper vulcanised plimsoll, so it creases and softens the way canvas is supposed to. The footbed lifts out if you wear an orthotic, and it comes in a true wide.",2026-08-15,yes,"medium, wide"
p093,sh9,Reebok Classic Leather Sneaker,Reebok,DSW,https://www.dsw.com/product/reebok-classic-leather-sneaker---womens/530693,85,$$,Sporty,Bold,Edgy,,5.5-11,no,no,no,"black, white",,,,"The retro runner with a visible midsole — chunkier than a court shoe, which is the point when you are balancing a wide trouser. Full-grain leather, so it holds its shape rather than collapsing.",2026-08-15,yes,medium
p094,sh9,Langley Sneaker,Sam Edelman,Sam Edelman,https://www.samedelman.com/product/womens-langley-sneaker-3029042/vault-blue-grey-nylon-suede-ec0211301,120,$$,Sporty,Bold,Natural,,5-12,no,no,no,"off white canvas, black suede, white/tan/black suede, deep olive, french burgundy, leopard calf hair + 6 more",,,,"Twelve colourways of one shape, from plain black suede to leopard, so you choose how much attention it asks for. Medium and wide both, which almost nothing at this price offers.",2026-08-15,yes,"medium, wide"
p095,sh9,The Day Sneaker,Everlane,Everlane,https://www.everlane.com/products/womens-day-sneaker-white,148,$$,Minimal,Classic,Professional,,5-11,no,no,no,white,,,,"The cleanest white leather sneaker in this group — tapered toe, low collar, nothing else going on. It runs narrow, so take the next size up if you are between sizes.",2026-08-15,yes,medium
p096,sh9,Contrasting panel leather sneakers,Mango,Mango,https://shop.mango.com/us/en/p/women/shoes/leather-shoes/contrasting-panel-leather-sneakers_37081346,80,$$,Minimal,Classic,Romantic,,EU 35-42 (US 5-10),no,no,no,white,,,,"Real leather at eighty dollars, in the white low-top shape that goes with everything you already own. The contrast panel is the only detail, and it is enough.",2026-08-15,yes,medium
p097,dr1,Vintage Wash Tencel Roll Sleeve Tunic Dress,Quince,Quince,https://www.quince.com/women/vintage-wash-tencel-roll-sleeve-tunic-dress,60,$$,Minimal,Natural,Classic,,XS-XL,no,no,no,terracotta,,,,"Sixty dollars for a Tencel tunic dress that resists wrinkling, shrinking and static, which is the whole argument for packing it. The collar and half placket give it enough shape to read deliberate rather than thrown on.",2026-08-15,yes,
p098,dr1,100% European Linen Button Front Dress,Quince,Quince,https://www.quince.com/women/linen-dress,64,$$,Natural,Minimal,Professional,,"XS-XL, 1X-3X",no,no,yes,"flax, white, sand, deep navy, black, french blue, chambray stripe, classic mini gingham + 7 more",,,,"Fifteen colours of a proper European linen button-front, and it runs into plus sizes. The belt comes off, so it works cinched at the waist or straight down as a column.",2026-08-15,yes,
p099,dr1,Naomi Relaxed Jersey Dress,Boden,Boden,https://us.boden.com/products/women-naomi-relaxed-jersey-dress-navy-d1053nav,99,$$,Classic,Minimal,Professional,,"0-22 (petite 0-12, long 0-22)",yes,yes,no,"navy, black, forest green planted meadows, storm blue boden spot, raw umber zebra swirl",,,,"Boden cut this in three separate lengths — petite, regular and long — so the hem lands where it should instead of where it happens to. Cotton-modal jersey, side pockets, a high notch neck: the dress you keep by the door.",2026-08-15,yes,
p100,dr1,Dune Linen Blend Shirtdress,Universal Standard,Universal Standard,https://www.universalstandard.com/products/dune-linen-blend-shirtdress-black,158,$$$,Minimal,Natural,Edgy,,00-40,no,no,yes,black,,,,"Linen with three percent stretch, which is the detail that stops it creasing into a map by lunchtime. Sizes 00 through 40, and the hi-low hem drops well below the knee at the back — worth checking against your height.",2026-08-15,yes,
p101,dr1,Oasis Midi Dress,free-est,Free People,https://www.freepeople.com/shop/oasis-midi-dress/,118,$$,Romantic,Natural,Bold,,XS-XL,no,no,no,"dawn sky, ripe mango, blue starling, canvas, sways of palm, black",ruffles,,,"A smocked bodice with a tie at the bust does what a zip never can — it adjusts to you across a whole day. Ruffled neckline, so it is tagged accordingly; if you have ruled ruffles out, this one stays hidden.",2026-08-15,yes,
p102,dr1,Corduroy A-Line Shirtdress,Talbots,Talbots,https://www.talbots.com/corduroy-a-line-shirtdress/P263036444.html,139,$$,Classic,Natural,Professional,,"XS-XL, petite/plus/plus petite",yes,no,yes,dark chocolate,,,,"Four separately drafted fits, each with its own finished length — real pattern work rather than grading up. Misses, petite, plus and plus petite. Cotton corduroy, so it has weight and holds an A-line properly.",2026-08-15,yes,
p103,dr1,Emy Dress,Sézane,Sézane,https://www.sezane.com/us-en/product/emy-dress/navy,150,$$,Minimal,Edgy,Sporty,,XS-XXL (US 2-14),no,no,no,"navy, cream",,,,A navy cotton column with side slits and almost nothing else going on. That restraint is the point — it takes whatever shoes and jewellery you put with it and never argues.,2026-08-15,yes,
p104,dr1,Camila Midi Dress,Marine Layer,Marine Layer,https://www.marinelayer.com/products/camila-midi-dress-4,158,$$$,Natural,Romantic,Sporty,,XS-XL,no,no,no,"sea floral, medium wash, black",ruffles,,floral,"Hemp and Tencel behaves like linen without the creasing, which is the trick this dress is built on. The flutter sleeve means it is tagged for ruffles. Runs small in the bust — size up if you are between.",2026-08-15,yes,
p105,dr1,Maeve Soren Long-Sleeve Midi Shirtdress,Maeve,Anthropologie,https://www.anthropologie.com/shop/maeve-soren-long-sleeve-midi-shirtdress,158,$$$,Professional,Classic,Minimal,,XXS-XL + petite + plus,yes,no,yes,blue/white stripe,,,stripe,"The slimmest cut here, and the appliqué buttons down the placket are what lift it above a plain striped shirtdress. Hand wash only, which is unusual for cotton and worth knowing before you buy.",2026-08-15,yes,
p106,dr1,By Anthropologie Peregrine Puff-Sleeve Midi Dress,By Anthropologie,Anthropologie,https://www.anthropologie.com/shop/by-anthropologie-peregrine-puff-sleeve-midi-dress,158,$$$,Romantic,Natural,Bold,,XXS-XL + petite + plus,yes,no,yes,brown plaid,puff-sleeve,,plaid,"Brown plaid with a fully smocked bodice, and it pulls on — no zip, no buttons, nothing to fasten. Puff sleeves, tagged as such. One colourway only, so there is no fallback if it sells through.",2026-08-15,yes,
p107,dr1,Heidi Jersey Midi Tea Dress,Boden,Boden,https://us.boden.com/products/women-heidi-jersey-midi-tea-dress-olive-floral-field-spaced-d1765grn,160,$$$,Romantic,Classic,Glam,,"0-22 (petite 0-12, long 4-22)",yes,yes,no,"olive floral field spaced, denim blue delicate trail, almond milk geo, french navy flecked garden, black",puff-sleeve,,floral,"A proper tea dress — collar, seamed waist, floral, midi — but cut in jersey rather than a woven, so it travels and washes. Puff sleeves are the defining detail, tagged accordingly. Petite and long fits both offered.",2026-08-15,yes,
p108,dr1,Eyelet Poplin Fit & Flare Dress,Talbots,Talbots,https://www.talbots.com/eyelet-poplin-fit-and-flare-dress/P263036412.html,169,$$$,Romantic,Classic,Professional,,"2-18, petite/plus/plus petite",yes,no,yes,night sky,,,,"Eyelet gives you texture and airflow in the same fabric, which is why it has outlasted a century of hot summers. Sleeveless with a real shoulder rather than a strap, and it comes in four separately drafted fits.",2026-08-15,yes,
p109,dr1,Evonie Dress,Sézane,Sézane,https://www.sezane.com/us-en/product/evonie-dress/ostia-place-print,230,$$$,Romantic,Bold,Glam,,2-14,no,no,no,ostia place print,,,floral,"Buttoned through it is a shirtdress; worn open with the belt off it is nearly a coat. That double life is what makes the price make sense. Unlined viscose, so it wants a slip in bright light.",2026-08-15,yes,
p110,dr1,Jardin Stripe Cotton Poplin Mitchell Dress,Tuckernuck,Tuckernuck,https://tnuck.com/products/jardin-stripe-cotton-poplin-mitchell-dress,248,$$$,Classic,Romantic,Professional,,XXS-XXXL,no,no,no,jardin stripe,puff-sleeve,,stripe,"Cotton poplin, fully lined, with a drawstring waist and real pockets — a dress that survives a whole day out. Sized XXS to XXXL, and puff sleeved, tagged accordingly.",2026-08-15,yes,
p111,dr1,Gardenia Caliope Midi Dress,Carolina K.,Tuckernuck,https://tnuck.com/products/gardenia-caliope-midi-dress,625,$$$$,Bold,Glam,Natural,,XS-XL,no,no,no,gardenia,,,floral,"The splurge, and unusually it is a linen day dress rather than an occasion piece — hand embroidery and crochet trim on 100% linen. Dry clean only is the real cost of ownership here, so go in knowing that.",2026-08-15,yes,
